"codreg","libreg","year0","value0","year1","value1"
"01","Guadeloupe",2012,,2014,
"02","Martinique",2012,,2014,34.4
"03","Réunion",2012,,2014,
"04","La Réunion",2012,,2014,31.1
"06","Mayotte",2012,,2014,
"11","Île-de-France",2012,24.4,2014,25.7
"24","Centre-Val de Loire",2012,34.3,2014,36.5
"27","Bourgogne-Franche-Comté",2012,34.7,2014,36.9
"28","Normandie",2012,33.9,2014,36.2
"32","Hauts-de-France",2012,32.4,2014,34.5
"44","Grand Est",2012,31.1,2014,33.1
"52","Pays de la Loire",2012,32.4,2014,34.6
"53","Bretagne",2012,34.5,2014,36.8
"75","Nouvelle-Aquitaine",2012,35.8,2014,37.8
"76","Occitanie",2012,35.3,2014,37.2
"84","Auvergne-Rhône-Alpes",2012,30.2,2014,31.9
"93","Provence-Alpes-Côte d'Azur",2012,34.9,2014,36.7
"94","Corse",2012,35,2014,37.1
