"codreg","libreg","year0","value0","year1","value1"
"01","Guadeloupe",2009,25,2014,25.9
"02","Martinique",2009,23.4,2014,25.5
"03","Guyane",2009,34.3,2014,37
"04","La Réunion",2009,31.6,2014,31.9
"06","Mayotte",2009,,2014,
"11","Île-de-France",2009,12.7,2014,14.8
"24","Centre-Val de Loire",2009,14.8,2014,17.4
"27","Bourgogne-Franche-Comté",2009,14.4,2014,16.8
"28","Normandie",2009,15.7,2014,18.1
"32","Hauts-de-France",2009,19.3,2014,21.9
"44","Grand Est",2009,15.4,2014,17.9
"52","Pays de la Loire",2009,12,2014,14.7
"53","Bretagne",2009,11.4,2014,14
"75","Nouvelle-Aquitaine",2009,14.3,2014,16.9
"76","Occitanie",2009,15.5,2014,18.3
"84","Auvergne-Rhône-Alpes",2009,12.7,2014,15.1
"93","Provence-Alpes-Côte d''Azur",2009,16.3,2014,19.1
"94","Corse",2009,19.9,2014,20.6
